recordId,academicYear,title,type,status,ucas,requirements,summary,info,entryRequirementsUrl,url,lastReviewed
2026-bioveterinarysciencewithintegratedmasters-FY,2026,Bioveterinary Science with Integrated Master's with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/bioveterinarysciencewithintegratedmasters/#foundationyear,2026-06-22
2026-N12T-UG,2026,Business and Management | Top-up,Undergraduate,Vacancies,N12T,Pass HND,BA (Hons),This course has additional subject-specific requirements. View the full course details or contact Admissions before applying.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/businessandmanagementtop-up/,2026-06-22
2026-N202-UG,2026,Business Management,Undergraduate,Vacancies,N202,64 UCAS tariff points,Undergraduate course,Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/businessmanagement/,2026-06-22
2026-NN42-UG,2026,Business Management and Accounting,Undergraduate,Vacancies,NN42,64 UCAS tariff points,BA (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/businessmanagementandaccounting/,2026-06-22
2026-businessmanagementandaccounting-FY,2026,Business Management and Accounting with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/businessmanagementandaccounting/#foundationyear,2026-06-22
2026-LN19-UG,2026,Business Management and Economics,Undergraduate,Vacancies,LN19,64 UCAS tariff points,BA (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/businessmanagementandeconomics/,2026-06-22
2026-businessmanagementandeconomics-FY,2026,Business Management and Economics with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/businessmanagementandeconomics/#foundationyear,2026-06-22
2026-NN39-UG,2026,Business Management and Finance,Undergraduate,Vacancies,NN39,64 UCAS tariff points,BA (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/businessmanagementandfinance/,2026-06-22
2026-businessmanagementandfinance-FY,2026,Business Management and Finance with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/businessmanagementandfinance/#foundationyear,2026-06-22
2026-NN25-UG,2026,Business Management and Marketing,Undergraduate,Vacancies,NN25,64 UCAS tariff points,BA (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/businessmanagementandmarketing/,2026-06-22
2026-businessmanagementandmarketing-FY,2026,Business Management and Marketing with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/businessmanagementandmarketing/#foundationyear,2026-06-22
2026-NG12-UG,2026,Business Management with Analytics,Undergraduate,Vacancies,NG12,64 UCAS tariff points,BA (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/businessmanagementwithanalytics/,2026-06-22
2026-businessmanagementwithanalytics-FY,2026,Business Management with Analytics with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/businessmanagementwithanalytics/#foundationyear,2026-06-22
2026-N291-UG,2026,Business Management with Entrepreneurship,Undergraduate,Vacancies,N291,64 UCAS tariff points,Undergraduate course,Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/businessmanagementwithentrepreneurship/,2026-06-22
2026-businessmanagementwithentrepreneurship-FY,2026,Business Management with Entrepreneurship with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/businessmanagementwithentrepreneurship/#foundationyear,2026-06-22
2026-N2N8-UG,2026,Business Management with Events,Undergraduate,Vacancies,N2N8,64 UCAS tariff points,BA (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/businessmanagementwithevents/,2026-06-22
2026-businessmanagementwithevents-FY,2026,Business Management with Events with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/businessmanagementwithevents/#foundationyear,2026-06-22
2026-businessmanagement-FY,2026,Business Management with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/businessmanagement/#foundationyear,2026-06-22
2026-N2N6-UG,2026,Business Management with Hospitality,Undergraduate,Vacancies,N2N6,64 UCAS tariff points,BA (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/businessmanagementwithhospitality/,2026-06-22
2026-businessmanagementwithhospitality-FY,2026,Business Management with Hospitality with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/businessmanagementwithhospitality/#foundationyear,2026-06-22
2026-NN69-UG,2026,Business Management with Human Resources,Undergraduate,Vacancies,NN69,64 UCAS tariff points,BA (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/businessmanagementwithhumanresources/,2026-06-22
2026-businessmanagementwithhumanresources-FY,2026,Business Management with Human Resources with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/businessmanagementwithhumanresources/#foundationyear,2026-06-22
2026-N830-UG,2026,Business Management with International Tourism,Undergraduate,Vacancies,N830,64 UCAS tariff points,BA (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/businessmanagementwithinternationaltourism/,2026-06-22
2026-businessmanagementwithinternationaltourism-FY,2026,Business Management with International Tourism with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/businessmanagementwithinternationaltourism/#foundationyear,2026-06-22
2026-N114-UG,2026,Business Management with Supply Chain,Undergraduate,Vacancies,N114,64 UCAS tariff points,BA (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/businessmanagementwithsupplychain/,2026-06-22
2026-businessmanagementwithsupplychain-FY,2026,Business Management with Supply Chain with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/businessmanagementwithsupplychain/#foundationyear,2026-06-22
2026-N271-UG,2026,Business Management with Sustainability,Undergraduate,Vacancies,N271,64 UCAS tariff points,BA (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/businessmanagementwithsustainability/,2026-06-22
2026-businessmanagementwithsustainability-FY,2026,Business Management with Sustainability with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/businessmanagementwithsustainability/#foundationyear,2026-06-22
2026-N123-UG,2026,Business Technology,Undergraduate,Vacancies,N123,64 UCAS tariff points,BSc (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/businesstechnology/,2026-06-22
2026-businesstechnology-FY,2026,Business Technology with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/businesstechnology/#foundationyear,2026-06-22
2026-H800-UG,2026,Chemical Engineering,Undergraduate,Vacancies,H800,64 UCAS tariff points,BEng,This course has additional subject-specific requirements. View the full course details or contact Admissions before applying.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/chemicalengineering/,2026-06-22
2026-chemicalengineering-FY,2026,Chemical Engineering with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/chemicalengineering/#foundationyear,2026-06-22
2026-H801-UG,2026,Chemical Engineering with Integrated Master's,Undergraduate,Vacancies,H801,64 UCAS tariff points,MEng,This course has additional subject-specific requirements. View the full course details or contact Admissions before applying.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/chemicalengineeringwithintegratedmasters/,2026-06-22
2026-chemicalengineeringwithintegratedmasters-FY,2026,Chemical Engineering with Integrated Master's with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/chemicalengineeringwithintegratedmasters/#foundationyear,2026-06-22
2026-F101-UG,2026,Chemistry,Undergraduate,Vacancies,F101,64 UCAS tariff points,BSc (Hons),This course has additional subject-specific requirements. View the full course details or contact Admissions before applying.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/chemistry/,2026-06-22
2026-chemistry-FY,2026,Chemistry with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/chemistry/#foundationyear,2026-06-22
2026-F102-UG,2026,Chemistry with Integrated Master's,Undergraduate,Vacancies,F102,64 UCAS tariff points,MChem,This course has additional subject-specific requirements. View the full course details or contact Admissions before applying.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/chemistrywithintegratedmasters/,2026-06-22
2026-chemistrywithintegratedmasters-FY,2026,Chemistry with Integrated Master's with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/chemistrywithintegratedmasters/#foundationyear,2026-06-22
2026-F106-UG,2026,Chemistry with Materials Chemistry,Undergraduate,Vacancies,F106,64 UCAS tariff points,BSc (Hons),This course has additional subject-specific requirements. View the full course details or contact Admissions before applying.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/chemistrywithmaterialschemistry/,2026-06-22
2026-chemistrywithmaterialschemistry-FY,2026,Chemistry with Materials Chemistry with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/chemistrywithmaterialschemistry/#foundationyear,2026-06-22
2026-F108-UG,2026,Chemistry with Materials Chemistry with Integrated Master's,Undergraduate,Vacancies,F108,64 UCAS tariff points,MChem,This course has additional subject-specific requirements. View the full course details or contact Admissions before applying.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/chemistrywithmaterialschemistrywithintegratedmasters/,2026-06-22
2026-chemistrywithmaterialschemistrywithintegratedmasters-FY,2026,Chemistry with Materials Chemistry with Integrated Master's with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/chemistrywithmaterialschemistrywithintegratedmasters/#foundationyear,2026-06-22
2026-FG12-UG,2026,Chemistry with Mathematics,Undergraduate,Vacancies,FG12,64 UCAS tariff points,BSc (Hons),This course has additional subject-specific requirements. View the full course details or contact Admissions before applying.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/chemistrywithmathematics/,2026-06-22
2026-chemistrywithmathematics-FY,2026,Chemistry with Mathematics with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/chemistrywithmathematics/#foundationyear,2026-06-22
2026-FG13-UG,2026,Chemistry with Mathematics with Integrated Master's,Undergraduate,Vacancies,FG13,64 UCAS tariff points,MChem,This course has additional subject-specific requirements. View the full course details or contact Admissions before applying.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/chemistrywithmathematicswithintegratedmasters/,2026-06-22
2026-chemistrywithmathematicswithintegratedmasters-FY,2026,Chemistry with Mathematics with Integrated Master's with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/chemistrywithmathematicswithintegratedmasters/#foundationyear,2026-06-22
2026-F123-UG,2026,Chemistry with Medicinal Chemistry,Undergraduate,Vacancies,F123,64 UCAS tariff points,BSc (Hons),This course has additional subject-specific requirements. View the full course details or contact Admissions before applying.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/chemistrywithmedicinalchemistry/,2026-06-22
2026-chemistrywithmedicinalchemistry-FY,2026,Chemistry with Medicinal Chemistry with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/chemistrywithmedicinalchemistry/#foundationyear,2026-06-22
2026-F124-UG,2026,Chemistry with Medicinal Chemistry with Integrated Master's,Undergraduate,Vacancies,F124,64 UCAS tariff points,Undergraduate course,This course has additional subject-specific requirements. View the full course details or contact Admissions before applying.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/chemistrywithmedicinalchemistrywithintegratedmasters/,2026-06-22
